address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct
Москва;пос. Первомайское;район Первомайское;ул. Парковая,пос. Первомайское,Парковая ул., 6,"55.534627,37.160761",43.0,4500000,104651,55.534627,37.160761,1
Москва;Сосенское поселение;д. Столбово;район Сосенское;Южное Бунино ЖК,д. Столбово,Сосенское, Поселение,"55.540013,37.453550",36.1,4525000,125311,55.540013,37.45355,0
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.37к1,район Крюково,просп. Георгиевский,д.37к1,"55.967015,37.154863",33.8,4559620,134900,55.967015,37.154863,1
Москва;район Останкинский;Березовая аллея;д.19Ас1,район Останкинский,Березовая аллея,д.19Ас1,"55.850929,37.623027",32.0,4550000,142187,55.850929,37.623027,1
Москва;район Ростокино;ул. 1-я Леонова,unknown,Ботанический Сад, Москва,"55.845192,37.639211",20.3,4579742,225936,55.845192000000004,37.639210999999996,0
Москва;Сосенское поселение;д. Столбово;район Сосенское,Сосенское поселение,13а, Президент Кп,"55.540591,37.458735",35.1,4550000,129629,55.540591000000006,37.458735,0
Москва;район Лосиноостровский;Нормандия ЖК,unknown,Тайнинская ул., 9 строение 2,"55.882793,37.682880",34.3,4639000,135247,55.88279300000001,37.68288,1
Москва;Рязановское поселение;с. Остафьево;район Рязановское;Остафьево ЖК;д.к1,район Рязановское,Остафьево ЖК,д.к1,"55.501944,37.522040",34.6,4609998,133313,55.501943999999995,37.522040000000004,1
Москва;район Некрасовка;ул. Вертолетчиков;д.4к9,район Некрасовка,ул. Вертолетчиков,д.4к9,"55.704055,37.947943",32.7,4600000,140672,55.704055000000004,37.947943,1
Москва;Десеновское поселение;район Десёновское;Кленовые Аллеи ЖК;д.к4,район Десёновское,Кленовые Аллеи ЖК,д.к4,"55.511022,37.350351",38.9,4650000,119598,55.511022,37.350351,1
Москва;район Кунцево;Мякинино Парк ЖК,unknown,Unnamed Road, Москва,"55.803338,37.347289",33.6,4740960,141100,55.803338000000004,37.347289,0
Москва;Внуковское поселение;район Внуковское;ул. Летчика Грицевца;д.9,район Внуковское,ул. Летчика Грицевца,д.9,"55.623595,37.309172",38.0,6100000,160526,55.623594999999995,37.309172,1
Москва;район Орехово-Борисово Южное;Гурьевский проезд;д.35/58,район Орехово-Борисово Южное,Гурьевский проезд,д.35/58,"55.609278,37.759587",37.0,6250000,168918,55.609278,37.759586999999996,1
Москва;район Бирюлево Восточное;Липецкая ул.;д.15к1,район Бирюлево Восточное,Липецкая ул.,д.15к1,"55.581581,37.687228",39.0,6500000,166666,55.58158100000001,37.687228000000005,1
Москва;район Косино-Ухтомский;ул. Рудневка;д.3,район Косино-Ухтомский,ул. Рудневка,д.3,"55.715347,37.880141",38.0,6650000,175000,55.715346999999994,37.880140999999995,1
